EXP,Time,Conc,Size,Salinity,O2,pH,OM,NO3wat,NO2wat,NH4wat,NO3sed,NO2sed,NH4sed,Cuenv,Feenv,Cuexc,Feexc,DAPI,Foldch16S,nosZ,nirS,nirK,copy16,copynos,copynir
EXP2,48,1,50nm,9psu,5.2,8.5,0.99,11.66,1.71,217.05,6.34,7.1,44.74,7.66,3.71,,,,,,,,,,
EXP2,144,0,50nm,9psu,5.2,8.62,1.05,259.76,5.21,87.63,6.53,7.01,47.89,7.08,4.01,,,,,,,,,,
EXP2,144,0.01,50nm,9psu,5.3,8.56,1,86.4,0.1,90.49,6.18,7.25,110.88,7,3.07,,,,,,,,,,
EXP2,144,0.1,50nm,9psu,5.3,8.61,1.2,106.65,0.15,90.8,5.76,6.76,138.15,8.41,4.19,,,,,,,,,,
EXP2,144,1,50nm,9psu,5.2,8.54,1,123.97,1.09,85.15,9.55,7.63,88.76,6.42,4.12,,,,,,,,,,
EXP50,1,0,50nm,,5.4,8.08,0.97,40.65,0.6,13.2,12.37,7.39,96.71,3.2,3.93,0.14,0.06,3458263252,0.9123,,,,8293954746,42.90720123,24871.2877
EXP50,1,0.01,50nm,,4.8,8.08,0.84,36.91,0.61,14.12,9.27,7.52,133.62,3.72,2.72,0.17,0.08,6426274625,0.6168,1.5186,0.9482,0.6311,6744046932,104.1494193,41078.11592
EXP50,1,0.1,50nm,,4.5,8,1.12,40.2,0.47,12.54,6.45,7.33,122.29,3.81,5.43,0.12,0.09,3286012592,0.1619,2.3578,1.3947,2.4334,1574428639,40.05598279,11691.27274
EXP50,1,1,50nm,,4.9,7.23,1.02,38.93,0.45,12.43,9,8.26,143.56,2.7,4.32,0.12,0.07,4971419050,0.3686,5.1268,4.6854,0.8465,3587862703,702.4093406,324275.303
EXP50,4,0,50nm,,4.7,8.05,0.88,32.32,1.18,23.69,8.5,7.63,122.54,4.2,5,0.15,0.09,3233012388,0.9123,,,,4233557289,24.48317668,17680.26773
EXP50,4,0.01,50nm,,4.9,8.06,1.05,32.7,0.97,18.02,8.45,7.22,126.04,4.69,6.03,0.16,0.09,5146319720,0.0605,7.2594,2.7535,2.479,1591715137,534.4799974,12957.11945
EXP50,4,0.1,50nm,,4.8,8.07,1.26,36.48,0.75,12.12,9.17,7.01,135.74,3.7,3.88,0.12,0.1,4107515739,0.3939,-1.8149,-1.8753,1.5738,3834775150,5.062926594,2723.460334
EXP50,4,1,50nm,,4.8,7.8,1.08,38.26,0.66,15.59,11.53,7.77,131.75,7.61,6.39,0.18,0.09,5840622380,0.0322,9.9305,9.6331,4.8994,1478377830,1771.851186,933265.521
EXP50,7,0,50nm,,4.8,8.15,1.01,31.94,1.08,24.88,7.54,7.67,148.04,3.7,3.62,0.16,0.09,2175658337,0.8172,,,,8375355286,51.69779082,33813.75429
EXP50,7,0.01,50nm,,4.8,8.16,1.03,30.6,0.99,18.12,7.02,7.43,157,3.76,3.9,0.15,0.1,5761122076,0.0204,9.7431,9.5479,5.4728,2372778705,1187.349296,716679.2156
EXP50,7,0.1,50nm,,4.7,8.06,1.03,28.44,1.18,34.56,7.6,7.71,230.16,4.15,4.37,0.13,0.08,4505017263,0.2268,7.9036,7.1696,2.2413,2174039350,3759.481487,1555683.587
EXP50,7,1,50nm,,4.8,7.85,0.94,26.43,0.93,30.78,6.79,6.99,139.4,4.67,4.71,0.2,0.08,6026123091,0.1028,8.4578,6.5539,2.729,1071398060,2635.772066,456683.9299
EXP50,24,0,50nm,,5,8.12,0.97,44.97,4.57,69.85,8.41,8.03,325.89,2.69,3.45,0.13,0.08,1505205768,0.2533,,,,2384857040,19.11605224,21548.10838
EXP50,24,0.01,50nm,,5,8.26,0.98,41.86,3.8,77.75,8.29,8.05,210.21,2.78,4.65,0.11,0.09,3922015029,0.0116,12.0332,11.7065,4.7866,2099653968,5466.3284,5313133.997
EXP50,24,0.1,50nm,,5.1,8.29,0.98,44.95,2.78,75.8,10.87,7.71,238.23,4.72,5.31,0.13,0.09,3778914480,0.299,3.3789,0.7961,0.4939,2877301086,274.6629164,51293.93201
EXP50,24,1,50nm,,5.2,8.08,1.02,6.11,0.99,80.65,5.36,7.8,209.39,5,5.61,0.21,0.09,5379520614,0.9225,2.4967,1.7512,-1.7887,8368793559,444.2304215,300706.0999
EXP50,48,0,50nm,,5.1,8.29,1.05,34.58,7.66,78.72,6.26,7.52,255.82,3.25,3.34,0.15,0.09,3225062358,0.0195,,,,2170547678,98.09545872,9562.953651
EXP50,48,0.01,50nm,,5,8.29,0.97,39.93,5.11,27.77,8.62,7.2,296.97,3.74,3.87,0.12,0.09,4022715414,0.382,-7.1362,-2.9189,-3.6636,3870081209,13.78626677,25826.82458
EXP50,48,0.1,50nm,,3.8,7.84,1.25,14.13,6.71,213.46,5.14,7.31,299.18,3.63,4.37,0.13,0.09,6577325203,0.4682,-3.6775,-1.7414,-4.275,4234032073,173.4813876,68513.26513
EXP50,48,1,50nm,,4.5,8.28,0.73,39.1,1.6,11.39,8.55,7.79,179.9,5.21,4.8,0.21,0.09,8474732474,0.5585,-4.5787,-3.061,-4.9821,5786970056,125.2645804,33131.95882
EXP50,144,0,50nm,,4.9,8.65,1.24,245.09,0.17,92.23,8.59,7.33,367.44,3.28,4.18,0.17,0.11,3227712368,0.3599,,,,3601225547,10.03291603,26076.6483
EXP50,144,0.01,50nm,,4.8,8.59,1.13,167.59,0.17,88.4,6.97,7.22,195.05,3.73,4.78,0.12,0.1,5390120654,0.0256,5.328,-3.5292,3.7654,3094426825,31.24722868,89219.42378
EXP50,144,0.1,50nm,,4.9,8.31,1.07,184.09,0.25,89.88,7.2,9.29,161.65,5.96,6.1,0.11,0.1,3816014622,0.6652,2.1378,1.7554,-0.6141,6274760052,80.56253061,168227.6816
EXP50,144,1,50nm,,5.3,8.57,1.01,66.42,0.25,80.43,6.46,6.71,118.14,3.17,3.66,0.21,0.1,7324628067,0.7595,3.637,1.4339,-2.8912,6446638836,249.3157399,137262.36
EXP150,1,0,150nm,,5.3,8.21,1.16,48.11,0.19,12.37,12.02,6.18,66.57,5.7,5.07,0.08,0.06,3174712165,0.6733,,,,,,
EXP150,1,0.01,150nm,,5.5,8.22,1.08,51.12,0.33,13.76,7.76,6.45,67.68,5.17,3.06,0.12,0.07,6312324188,0.2512,0.7476,-0.7217,,,,
EXP150,1,0.1,150nm,,5.5,8.13,0.98,64.87,0.22,13.76,11.71,6.14,57.24,3.8,4.17,0.09,0.06,4510317283,0.4177,0.3902,-0.5565,,,,
EXP150,1,1,150nm,,5.4,7.28,1.11,47.56,0.21,11.28,10.81,6.31,61.32,2.74,2.74,0.12,0.06,4515617303,0.1224,3.6051,3.1816,,,,
EXP150,4,0,150nm,,5.3,8.18,1.07,55.61,0.29,13.37,12.54,5.99,67.29,4.53,7.26,0.1,0.07,4324816572,0.148,,,,,,
EXP150,4,0.01,150nm,,5.5,8.22,1.07,55.48,0.17,12.46,15.57,6.33,53.33,3.74,4.01,0.1,0.06,4568617506,0.4191,-0.0186,0.5625,,,,
EXP150,4,0.1,150nm,,5.2,8.17,1.15,61.38,0.2,11.37,15.91,6.38,49.64,3.35,4.91,0.08,0.06,2199508428,0.1808,1.494,2.2139,,,,
EXP150,4,1,150nm,,5.1,7.71,1.11,47.03,0.27,9.51,15.73,6.4,60.03,4.19,4.06,0.13,0.06,2968011373,0.0627,3.6309,5.8442,,,,
EXP150,7,0,150nm,,5.4,8.22,1.02,64.8,0.18,4.76,9.78,6.11,72.32,5.56,7.16,0.08,0.06,1796706885,0.3644,,,,,,
EXP150,7,0.01,150nm,,5.2,8.23,1.09,58.94,0.17,5.61,14.04,6.18,71.93,3.75,6.3,0.11,0.05,3015711556,0.2386,1.3583,,,,,
EXP150,7,0.1,150nm,,5.3,8.2,1.1,59.45,0.28,4.9,11.23,6.18,80.81,3.3,4.42,0.11,0.07,2862010967,0.5334,-0.4702,-3.1477,,,,
EXP150,7,1,150nm,,5.1,7.88,1.07,57.62,0.12,7.06,8.95,6.16,72.99,5.52,6.73,0.13,0.06,3026311596,0.5818,-0.9536,-4.1566,,,,
EXP150,24,0,150nm,,5,8.31,1.09,46.32,0.2,21.57,7.56,6.31,69.14,4.2,5.41,0.1,0.07,3407913059,0.3312,,,,,,
EXP150,24,0.01,150nm,,4.9,8.29,0.96,66.83,1.31,53.14,5.99,6.59,146.28,4.11,3.87,0.08,0.05,4001515333,,,,,,,
EXP150,24,0.1,150nm,,5,8.29,0.99,38.65,0.2,22.6,9.79,6.55,77.68,4.07,4.15,0.08,0.06,3349612835,,,,,,,
EXP150,24,1,150nm,,4.7,8.01,1.38,1.06,0.21,22.75,5.35,6.72,81.03,4.95,4.32,0.13,0.07,3015711556,0.1932,-1.1781,-4.528,,,,
EXP150,48,0,150nm,,5.1,8.18,1.08,43.71,2.84,16.15,7.58,6.62,70.42,4.5,4.91,0.08,0.06,4144615882,,,,,,,
EXP150,48,0.01,150nm,,5.4,8.3,0.98,78.42,3.86,4.62,7.63,6.91,78.07,4.64,4,0.1,0.09,3784214501,,,,,,,
EXP150,48,0.1,150nm,,5.1,8,1.03,41.46,7.31,126.44,5.03,5.75,93.43,4.42,4.26,0.1,0.08,2358509037,,,,,,,
EXP150,48,1,150nm,,5.4,8.25,1.17,9.92,1.77,296.13,4.57,6.43,176.16,5.02,4.05,0.09,0.09,3784214501,,,,,,,
EXP150,144,0,150nm,,5.3,8.53,1.09,79.45,0.1,80.57,6.22,6.86,83.82,4.82,3.15,0.1,0.1,4065115577,0.2334,,,,,,
EXP150,144,0.01,150nm,,5.4,8.45,1.2,57.64,0.17,90.86,6.15,6.88,46.63,6.04,6.83,0.09,0.07,4446717039,0.2062,-0.1625,1.7374,,,,
EXP150,144,0.1,150nm,,5.4,8.63,1.04,115.31,0.14,90.86,5.84,6.74,100.64,6.22,4.64,0.09,0.09,2867310987,0.3045,2.7719,4.8422,,,,
EXP150,144,1,150nm,,5.1,8.58,1.03,89.87,0.15,81.33,5.04,6.69,89.63,5.12,3.99,0.14,0.09,3948515130,0.1294,1.0613,3.6725,,,,
