EXP,Conc,DNF,NO2sed
EXP50,0,5.13,0.02
EXP50,0,3.54,0.06
EXP50,0,4.34,-0.02
EXP50,0.01,5.5,-0.01
EXP50,0.01,5.05,0.01
EXP50,0.01,5.28,-0.03
EXP50,0.1,6.19,0.02
EXP50,0.1,4.56,0.06
EXP50,0.1,5.37,-0.02
EXP50,1,6.66,-0.09
EXP50,1,5.68,-0.22
EXP50,1,6.17,0.04
